variant,seed,rate,pattern,total_count,excluded_label_zero,count,weighted_f1
no-JEPA,66,0.0,ATV,686,30,656,0.8746649050245099
no-JEPA,66,0.1,V,8,0,8,0.7500000000000001
no-JEPA,66,0.1,T,7,1,6,0.6666666666666666
no-JEPA,66,0.1,TV,62,2,60,0.9015873015873016
no-JEPA,66,0.1,A,7,1,6,0.8285714285714286
no-JEPA,66,0.1,AV,58,3,55,0.7276352759902112
no-JEPA,66,0.1,AT,51,1,50,0.8432597623089982
no-JEPA,66,0.1,ATV,493,22,471,0.8801142240632687
no-JEPA,66,0.2,V,32,2,30,0.7127086007702182
no-JEPA,66,0.2,T,23,0,23,0.7301003344481607
no-JEPA,66,0.2,TV,87,2,85,0.9413887979616573
no-JEPA,66,0.2,A,21,0,21,0.756456358287022
no-JEPA,66,0.2,AV,96,3,93,0.5930596285434995
no-JEPA,66,0.2,AT,82,5,77,0.845219435736677
no-JEPA,66,0.2,ATV,345,18,327,0.8807001996424554
no-JEPA,66,0.3,V,41,0,41,0.6849323521698216
no-JEPA,66,0.3,T,43,2,41,0.9030281607163896
no-JEPA,66,0.3,TV,80,3,77,0.8949232585596222
no-JEPA,66,0.3,A,48,1,47,0.7259267883303743
no-JEPA,66,0.3,AV,122,8,114,0.6802925427713203
no-JEPA,66,0.3,AT,105,5,100,0.8594166666666666
no-JEPA,66,0.3,ATV,247,11,236,0.8465595062638173
no-JEPA,66,0.4,V,96,3,93,0.6873003049830599
no-JEPA,66,0.4,T,71,3,68,0.8382003028336579
no-JEPA,66,0.4,TV,102,2,100,0.8778125
no-JEPA,66,0.4,A,73,4,69,0.7212864156157217
no-JEPA,66,0.4,AV,94,4,90,0.7702214825246448
no-JEPA,66,0.4,AT,103,6,97,0.8763676244790524
no-JEPA,66,0.4,ATV,147,8,139,0.8561151079136691
no-JEPA,66,0.5,V,122,4,118,0.6425508861543223
no-JEPA,66,0.5,T,129,9,120,0.8995475113122171
no-JEPA,66,0.5,TV,94,5,89,0.9324643738010415
no-JEPA,66,0.5,A,102,3,99,0.6745638200183655
no-JEPA,66,0.5,AV,85,1,84,0.6503657262277952
no-JEPA,66,0.5,AT,80,4,76,0.8181444377990431
no-JEPA,66,0.5,ATV,74,4,70,0.8041343669250647
no-JEPA,66,0.6,V,161,6,155,0.6361929587736039
no-JEPA,66,0.6,T,144,8,136,0.8384828029572485
no-JEPA,66,0.6,TV,83,5,78,0.8717948717948718
no-JEPA,66,0.6,A,136,7,129,0.6959458561038201
no-JEPA,66,0.6,AV,66,2,64,0.5964912280701755
no-JEPA,66,0.6,AT,63,2,61,0.9016393442622951
no-JEPA,66,0.6,ATV,33,0,33,0.8794612794612795
no-JEPA,66,0.7,V,173,3,170,0.6705882352941176
no-JEPA,66,0.7,T,202,13,189,0.8676028743469733
no-JEPA,66,0.7,TV,48,2,46,0.9132081686429511
no-JEPA,66,0.7,A,168,7,161,0.633730255892626
no-JEPA,66,0.7,AV,41,4,37,0.6256347256347257
no-JEPA,66,0.7,AT,38,1,37,0.9459459459459459
no-JEPA,66,0.7,ATV,16,0,16,0.873015873015873
no-JEPA,67,0.0,ATV,686,30,656,0.8697969823904403
no-JEPA,67,0.1,V,6,0,6,0.8380952380952381
no-JEPA,67,0.1,T,7,0,7,0.6714285714285715
no-JEPA,67,0.1,TV,59,1,58,0.8790554948769959
no-JEPA,67,0.1,A,5,0,5,0.4
no-JEPA,67,0.1,AV,62,3,59,0.765819209039548
no-JEPA,67,0.1,AT,61,6,55,0.8705516705516704
no-JEPA,67,0.1,ATV,486,20,466,0.8603666549305783
no-JEPA,67,0.2,V,24,0,24,0.6018518518518519
no-JEPA,67,0.2,T,16,2,14,0.789152024446142
no-JEPA,67,0.2,TV,85,4,81,0.8658312447786131
no-JEPA,67,0.2,A,19,1,18,0.7213622291021671
no-JEPA,67,0.2,AV,93,1,92,0.6851178274740687
no-JEPA,67,0.2,AT,80,5,75,0.9063660762211486
no-JEPA,67,0.2,ATV,369,17,352,0.8787321746880569
no-JEPA,67,0.3,V,53,3,50,0.662060606060606
no-JEPA,67,0.3,T,58,2,56,0.8368012955783481
no-JEPA,67,0.3,TV,93,4,89,0.864117358499381
no-JEPA,67,0.3,A,49,4,45,0.6497354497354497
no-JEPA,67,0.3,AV,103,4,99,0.6621997732192558
no-JEPA,67,0.3,AT,97,2,95,0.926163356903925
no-JEPA,67,0.3,ATV,233,11,222,0.8375657764970743
no-JEPA,67,0.4,V,94,4,90,0.5613472886247147
no-JEPA,67,0.4,T,90,2,88,0.9088530517101945
no-JEPA,67,0.4,TV,85,4,81,0.8242487770789658
no-JEPA,67,0.4,A,79,4,75,0.6399999999999999
no-JEPA,67,0.4,AV,92,3,89,0.6384291480309806
no-JEPA,67,0.4,AT,93,7,86,0.7921707699652185
no-JEPA,67,0.4,ATV,153,6,147,0.8361507253503812
no-JEPA,67,0.5,V,120,1,119,0.658242879452666
no-JEPA,67,0.5,T,110,5,105,0.8233122822299652
no-JEPA,67,0.5,TV,85,7,78,0.8833474218089603
no-JEPA,67,0.5,A,125,4,121,0.6037393307139954
no-JEPA,67,0.5,AV,85,5,80,0.6665991902834008
no-JEPA,67,0.5,AT,81,4,77,0.8530138906588504
no-JEPA,67,0.5,ATV,80,4,76,0.8923872180451126
no-JEPA,67,0.6,V,161,14,147,0.5986394557823129
no-JEPA,67,0.6,T,153,4,149,0.8178096557344395
no-JEPA,67,0.6,TV,58,0,58,0.8953266787658802
no-JEPA,67,0.6,A,148,9,139,0.6714784099290033
no-JEPA,67,0.6,AV,65,1,64,0.7327437975927291
no-JEPA,67,0.6,AT,68,1,67,0.8935999786398955
no-JEPA,67,0.6,ATV,33,1,32,0.8665458937198067
no-JEPA,67,0.7,V,187,10,177,0.7002017305359792
no-JEPA,67,0.7,T,171,8,163,0.8528680224039811
no-JEPA,67,0.7,TV,41,3,38,0.7606542784021364
no-JEPA,67,0.7,A,168,4,164,0.7095263343937785
no-JEPA,67,0.7,AV,55,3,52,0.6119248068273556
no-JEPA,67,0.7,AT,46,2,44,0.9083139083139083
no-JEPA,67,0.7,ATV,18,0,18,0.9442724458204333
no-JEPA,68,0.0,ATV,686,30,656,0.8747369905986095
no-JEPA,68,0.1,V,3,0,3,0.3333333333333333
no-JEPA,68,0.1,T,8,0,8,0.7333333333333334
no-JEPA,68,0.1,TV,75,4,71,0.887458081824279
no-JEPA,68,0.1,A,4,0,4,1.0
no-JEPA,68,0.1,AV,57,4,53,0.6407337601807184
no-JEPA,68,0.1,AT,50,3,47,0.8712605983042713
no-JEPA,68,0.1,ATV,489,19,470,0.8676600209194346
no-JEPA,68,0.2,V,29,0,29,0.6258085532132719
no-JEPA,68,0.2,T,19,0,19,0.8947368421052632
no-JEPA,68,0.2,TV,97,3,94,0.8302572186701394
no-JEPA,68,0.2,A,25,2,23,0.5959079283887468
no-JEPA,68,0.2,AV,91,5,86,0.7458607696113881
no-JEPA,68,0.2,AT,83,4,79,0.8729626871845786
no-JEPA,68,0.2,ATV,342,16,326,0.8584877953269807
no-JEPA,68,0.3,V,41,0,41,0.6787672527888069
no-JEPA,68,0.3,T,63,4,59,0.782919505311336
no-JEPA,68,0.3,TV,102,5,97,0.8360064366677866
no-JEPA,68,0.3,A,49,2,47,0.6672316213189673
no-JEPA,68,0.3,AV,97,5,92,0.686683979122207
no-JEPA,68,0.3,AT,96,3,93,0.9041482341275178
no-JEPA,68,0.3,ATV,238,11,227,0.8593162885805645
no-JEPA,68,0.4,V,70,5,65,0.5715244755244755
no-JEPA,68,0.4,T,68,4,64,0.9217790469172193
no-JEPA,68,0.4,TV,108,4,104,0.9126448893572181
no-JEPA,68,0.4,A,87,2,85,0.7141509433962264
no-JEPA,68,0.4,AV,92,3,89,0.5735728067188742
no-JEPA,68,0.4,AT,96,4,92,0.835538752362949
no-JEPA,68,0.4,ATV,165,8,157,0.8777030029585208
no-JEPA,68,0.5,V,105,7,98,0.6434150042397466
no-JEPA,68,0.5,T,117,1,116,0.8628856624319419
no-JEPA,68,0.5,TV,90,4,86,0.8377401415571284
no-JEPA,68,0.5,A,116,7,109,0.7098378757701159
no-JEPA,68,0.5,AV,88,5,83,0.6615540174883932
no-JEPA,68,0.5,AT,92,4,88,0.8629227914942201
no-JEPA,68,0.5,ATV,78,2,76,0.8819458432850853
no-JEPA,68,0.6,V,152,2,150,0.6026196308998858
no-JEPA,68,0.6,T,150,10,140,0.8360440239087761
no-JEPA,68,0.6,TV,67,3,64,0.8904906656841072
no-JEPA,68,0.6,A,154,4,150,0.7101612903225807
no-JEPA,68,0.6,AV,52,8,44,0.6671185956900243
no-JEPA,68,0.6,AT,73,3,70,0.8564408564408564
no-JEPA,68,0.6,ATV,38,0,38,0.9735104452253157
no-JEPA,68,0.7,V,203,8,195,0.6251048227653623
no-JEPA,68,0.7,T,137,6,131,0.8994098681858813
no-JEPA,68,0.7,TV,44,2,42,0.7868601986249045
no-JEPA,68,0.7,A,188,11,177,0.6023410154436764
no-JEPA,68,0.7,AV,46,1,45,0.6011857707509881
no-JEPA,68,0.7,AT,46,2,44,0.8856749311294766
no-JEPA,68,0.7,ATV,22,0,22,0.7722567287784678
no-JEPA,69,0.0,ATV,686,30,656,0.8737267460601196
no-JEPA,69,0.1,V,7,0,7,0.7142857142857143
no-JEPA,69,0.1,T,7,1,6,1.0
no-JEPA,69,0.1,TV,52,3,49,0.8576318845895226
no-JEPA,69,0.1,A,9,1,8,0.5769230769230769
no-JEPA,69,0.1,AV,58,2,56,0.6138040042149632
no-JEPA,69,0.1,AT,49,1,48,0.8741071428571429
no-JEPA,69,0.1,ATV,504,22,482,0.8665442453135577
no-JEPA,69,0.2,V,24,0,24,0.662004662004662
no-JEPA,69,0.2,T,23,0,23,0.8685481820493264
no-JEPA,69,0.2,TV,80,3,77,0.8571910789632309
no-JEPA,69,0.2,A,29,0,29,0.5795241913926759
no-JEPA,69,0.2,AV,87,4,83,0.6872033588901058
no-JEPA,69,0.2,AT,96,6,90,0.8222222222222222
no-JEPA,69,0.2,ATV,347,17,330,0.8595787595516079
no-JEPA,69,0.3,V,46,1,45,0.7093855428350201
no-JEPA,69,0.3,T,45,0,45,0.8894660894660894
no-JEPA,69,0.3,TV,102,6,96,0.8327380952380953
no-JEPA,69,0.3,A,50,1,49,0.5258763792598379
no-JEPA,69,0.3,AV,94,3,91,0.7193218350059286
no-JEPA,69,0.3,AT,105,4,101,0.8509672804482149
no-JEPA,69,0.3,ATV,244,15,229,0.8854414194758873
no-JEPA,69,0.4,V,79,5,74,0.6196150696150695
no-JEPA,69,0.4,T,78,1,77,0.8693469650916459
no-JEPA,69,0.4,TV,96,4,92,0.9007561436672968
no-JEPA,69,0.4,A,90,1,89,0.5748148811990994
no-JEPA,69,0.4,AV,101,5,96,0.6957478632478632
no-JEPA,69,0.4,AT,91,6,85,0.8265597147950088
no-JEPA,69,0.4,ATV,151,8,143,0.8732538545791559
